date,max_temp,min_temp,avg_temp,depart,HDD,CDD,precip,new_snow,snow_depth
2008-03-14,69,44,56.5,9.8,8,0,T,0,0
2008-03-15,63,49,56,8.9,9,0,0.03,0,0
2008-03-16,53,40,46.5,-0.9,18,0,0.57,0,0
2008-03-17,53,34,43.5,-4.2,21,0,0,0,0
2008-03-18,56,44,50,2,15,0,T,0,0
2008-03-19,70,51,60.5,12.2,4,0,0.51,0,0
2008-03-20,66,41,53.5,4.8,11,0,0.03,0,0
2008-03-21,58,39,48.5,-0.5,16,0,0,0,0
2008-03-22,51,40,45.5,-3.8,19,0,0,0,0
2008-03-23,51,34,42.5,-7.2,22,0,0,0,0
2008-03-24,52,37,44.5,-5.5,20,0,0,0,0
2008-03-25,54,34,44,-6.4,21,0,0,0,0
2008-03-26,71,48,59.5,8.8,5,0,0,0,0
2008-03-27,58,49,53.5,2.4,11,0,0.01,0,0
2008-03-28,74,46,60,8.5,5,0,0,0,0
2008-03-29,53,37,45,-6.8,20,0,0,0,0
2008-03-30,49,35,42,-10.2,23,0,0,0,0
2008-03-31,52,42,47,-5.6,18,0,0.04,0,0
2009-03-01,38,31,34.5,-8.7,30,0,0.25,1,T
2009-03-02,31,19,25,-18.4,40,0,0.25,4.5,3
2009-03-03,29,14,21.5,-22.2,43,0,0,0,4
2009-03-04,38,19,28.5,-15.4,36,0,0,0,2
2009-03-05,50,27,38.5,-5.7,26,0,0,0,T
2009-03-06,64,41,52.5,8,12,0,0,0,0
2009-03-07,71,42,56.5,11.8,8,0,0,0,0
2009-03-08,74,55,64.5,19.5,0,0,0,0,0
2009-03-09,68,44,56,10.7,9,0,0,0,0
2009-03-10,49,39,44,-1.6,21,0,0,0,0
2009-03-11,73,42,57.5,11.6,7,0,T,0,0
2009-03-12,49,37,43,-3.2,22,0,0,0,0
2009-03-13,42,34,38,-8.4,27,0,T,T,0
2009-03-14,45,36,40.5,-6.2,24,0,0.1,0,0
2009-03-15,44,39,41.5,-5.6,23,0,0.09,0,0
2009-03-16,49,41,45,-2.4,20,0,0.08,0,0
2009-03-17,53,41,47,-0.7,18,0,0.06,0,0
2009-03-18,62,39,50.5,2.5,14,0,0,0,0
2009-03-19,59,45,52,3.7,13,0,0.04,0,0
2009-03-20,49,32,40.5,-8.2,24,0,0,0,0
2009-03-21,51,29,40,-9,25,0,0,0,0
2009-03-22,62,34,48,-1.3,17,0,0,0,0
2009-03-23,52,35,43.5,-6.2,21,0,0,0,0
2009-03-24,50,28,39,-11,26,0,0,0,0
2009-03-25,51,34,42.5,-7.9,22,0,0,0,0
2009-03-26,50,40,45,-5.7,20,0,0.33,0,0
2009-03-27,62,44,53,1.9,12,0,0.17,0,0
2009-03-28,52,48,50,-1.5,15,0,0.52,0,0
2009-03-29,76,48,62,10.2,3,0,0.08,0,0
2009-03-30,58,44,51,-1.2,14,0,0,0,0
2009-03-31,61,38,49.5,-3.1,15,0,0,0,0
2010-03-01,50,37,43.5,0.3,21,0,0,0,0
2010-03-02,43,36,39.5,-3.9,25,0,0.06,T,0
2010-03-03,42,37,39.5,-4.2,25,0,T,0,0
2010-03-04,48,35,41.5,-2.4,23,0,0,0,0
2010-03-05,52,36,44,-0.2,21,0,0,0,0
2010-03-06,54,33,43.5,-1,21,0,0,0,0
2010-03-07,59,38,48.5,3.8,16,0,0,0,0
2010-03-08,62,37,49.5,4.5,15,0,0,0,0
2010-03-09,64,39,51.5,6.2,13,0,0,0,0
2010-03-10,65,43,54,8.4,11,0,0,0,0
2010-03-11,65,46,55.5,9.6,9,0,T,0,0
